evento;tipo;ano;n_art;n_ocur;total;n_qualis;
WSCAD;EST;2018;1;;9;;
WSCAD;MET;2018;1;;10;;
WSCAD;EST;2018;2;;11;;
WSCAD;MET;2018;2;;3;;
WSCAD;EST;2018;3;;12;;
WSCAD;MET;2018;3;;12;;
WSCAD;EST;2018;4;;36;;
WSCAD;MET;2018;4;;23;;
WSCAD;EST;2018;5;;5;;
WSCAD;MET;2018;5;;10;;
WSCAD;EST;2018;6;;12;;
WSCAD;MET;2018;6;;11;;
WSCAD;EST;2018;7;;9;;
WSCAD;MET;2018;7;;2;;
WSCAD;EST;2018;8;;16;;
WSCAD;MET;2018;8;;16;;
WSCAD;EST;2018;9;;7;;
WSCAD;MET;2018;9;;5;;
WSCAD;TST;2018;9;;1;;
WSCAD;EST;2018;10;;25;;
WSCAD;MET;2018;10;;5;;
WSCAD;EST;2018;11;;25;;
WSCAD;MET;2018;11;;6;;
WSCAD;EST;2018;12;;33;;
WSCAD;MET;2018;12;;8;;
WSCAD;EST;2018;13;;7;;
WSCAD;MET;2018;13;;1;;
WSCAD;EST;2018;14;;7;;
WSCAD;MET;2018;14;;12;;
WSCAD;EST;2018;15;;47;;
WSCAD;MET;2018;15;;3;;
WSCAD;EST;2018;16;;17;;
WSCAD;MET;2018;16;;5;;
WSCAD;EST;2018;17;;7;;
WSCAD;EST;2018;18;;6;;
WSCAD;MET;2018;18;;17;;
WSCAD;EST;2018;19;;27;;
WSCAD;MET;2018;19;;1;;
WSCAD;TST;2018;19;;1;;
WSCAD;EST;2019;20;;13;;
WSCAD;MET;2019;20;;10;;
WSCAD;TST;2019;20;;4;;
WSCAD;EST;2019;21;;11;;
WSCAD;MET;2019;21;;1;;
WSCAD;MET;2019;22;;11;;
WSCAD;EST;2019;23;;12;;
WSCAD;EST;2019;24;;15;;
WSCAD;MET;2019;24;;27;;
WSCAD;EST;2019;25;;10;;
WSCAD;MET;2019;25;;32;;
WSCAD;TST;2019;25;;1;;
WSCAD;EST;2019;26;;9;;
WSCAD;MET;2019;26;;4;;
WSCAD;EST;2019;27;;44;;
WSCAD;MET;2019;27;;4;;
WSCAD;EST;2019;28;;20;;
WSCAD;MET;2019;28;;2;;
WSCAD;EST;2019;29;;21;;
WSCAD;MET;2019;29;;13;;
WSCAD;EST;2019;30;;14;;
WSCAD;MET;2019;30;;2;;
WSCAD;EST;2019;31;;48;;
WSCAD;MET;2019;31;;9;;
WSCAD;EST;2019;32;;23;;
WSCAD;MET;2019;32;;5;;
WSCAD;EST;2019;33;;9;;
WSCAD;MET;2019;33;;6;;
WSCAD;EST;2019;34;;9;;
WSCAD;MET;2019;34;;3;;
WSCAD;EST;2019;35;;24;;
WSCAD;MET;2019;35;;4;;
WSCAD;EST;2019;36;;6;;
WSCAD;MET;2019;36;;1;;
WSCAD;EST;2019;37;;51;;
WSCAD;MET;2019;37;;4;;
WSCAD;EST;2019;38;;8;;
WSCAD;MET;2019;38;;4;;
WSCAD;EST;2019;39;;10;;
WSCAD;MET;2019;39;;9;;
WSCAD;EST;2019;40;;5;;
WSCAD;MET;2019;40;;4;;
WSCAD;EST;2019;41;;20;;
WSCAD;MET;2019;41;;1;;
WSCAD;TST;2019;41;;2;;
WSCAD;EST;2019;42;;10;;
WSCAD;MET;2019;42;;12;;
WSCAD;EST;2020;43;;9;;
WSCAD;MET;2020;43;;11;;
WSCAD;EST;2020;44;;11;;
WSCAD;MET;2020;44;;4;;
WSCAD;EST;2020;45;;28;;
WSCAD;TST;2020;45;;3;;
WSCAD;EST;2020;46;;7;;
WSCAD;MET;2020;46;;2;;
WSCAD;EST;2020;47;;8;;
WSCAD;EST;2020;48;;6;;
WSCAD;MET;2020;48;;8;;
WSCAD;EST;2020;49;;8;;
WSCAD;MET;2020;49;;10;;
WSCAD;EST;2020;50;;9;;
WSCAD;MET;2020;50;;12;;
WSCAD;EST;2020;51;;5;;
WSCAD;MET;2020;51;;10;;
WSCAD;EST;2020;52;;18;;
WSCAD;MET;2020;52;;5;;
WSCAD;EST;2020;53;;10;;
WSCAD;MET;2020;53;;2;;
WSCAD;EST;2020;54;;10;;
WSCAD;TST;2020;54;;1;;
WSCAD;EST;2020;55;;15;;
WSCAD;MET;2020;55;;17;;
WSCAD;EST;2020;56;;34;;
WSCAD;MET;2020;56;;14;;
WSCAD;EST;2020;57;;14;;
WSCAD;MET;2020;57;;10;;
WSCAD;EST;2020;58;;11;;
WSCAD;MET;2020;58;;5;;
WSCAD;EST;2021;59;;10;;
WSCAD;MET;2021;59;;34;;
WSCAD;EST;2021;60;;4;;
WSCAD;MET;2021;60;;30;;
WSCAD;EST;2021;61;;36;;
WSCAD;MET;2021;61;;16;;
WSCAD;EST;2021;62;;23;;
WSCAD;MET;2021;62;;5;;
WSCAD;EST;2021;63;;23;;
WSCAD;MET;2021;63;;4;;
WSCAD;EST;2021;64;;5;;
WSCAD;MET;2021;64;;1;;
WSCAD;EST;2021;65;;8;;
WSCAD;MET;2021;65;;3;;
WSCAD;EST;2021;66;;10;;
WSCAD;MET;2021;66;;50;;
WSCAD;EST;2021;67;;26;;
WSCAD;MET;2021;67;;9;;
WSCAD;EST;2021;68;;3;;
WSCAD;MET;2021;68;;13;;
WSCAD;EST;2021;69;;3;;
WSCAD;EST;2021;70;;8;;
WSCAD;MET;2021;70;;3;;
